Date,Stocks,TBills,risk_adjusted
2019-09-24,-0.008117635083407237,0.004642569641146732,-0.01276020472455397
2019-09-25,0.0059660111836283836,0.004371254583423134,0.0015947566002052493
2019-09-26,-0.0012070983299556914,0.004667223749059701,-0.005874322079015393
2019-09-27,-0.0069027046795567815,0.004642569641146732,-0.011545274320703514
2019-09-30,0.006811147449138355,0.004667223749059701,0.0021439237000786537
2019-10-01,-0.012237482466846306,0.004371254583423134,-0.01660873705026944
2019-10-02,-0.01743485345106055,0.004272540025782812,-0.021707393476843362
2019-10-03,0.00723656618506241,0.004346578672721257,0.0028899875123411523
2019-10-04,0.01420493665935152,0.004223171828999783,0.009981764830351736
2019-10-07,-0.0052682143937134995,0.004297221394214068,-0.009565435787927568
2019-10-08,-0.014985121625789022,0.004099719472886676,-0.019084841098675698
2019-10-09,0.008501966560451324,0.00412441358698068,0.004377552973470644
2019-10-10,0.005384566538072066,0.004247856837482411,0.0011367097005896554
2019-10-11,0.010005732123997024,0.004297221394214068,0.005708510729782956
2019-10-15,0.008673466503209326,0.004247856837482411,0.004425609665726915
2019-10-16,-0.0013200641787926015,0.004198485000021623,-0.005518549178814225
2019-10-17,0.005281848677406442,0.004247856837482411,0.001033991839924031
2019-10-18,-0.0004701013608550131,0.004272540025782812,-0.004742641386637825
2019-10-21,0.0029196641835396164,0.004297221394214068,-0.0013775572106744516
2019-10-22,-0.0053413067739336295,0.004297221394214068,-0.009638528168147698
2019-10-23,0.002016118791878796,0.004272540025782812,-0.0022564212339040157
2019-10-24,0.005204807636066899,0.004272540025782812,0.0009322676102840877
2019-10-25,0.0024186399161501004,0.004223171828999783,-0.0018045319128496828
2019-10-28,0.0029010541123764,0.004247856837482411,-0.001346802725106011
2019-10-29,0.0005271893873963762,0.0040503257781965285,-0.0035231363908001523
2019-10-30,0.002556135600607856,0.003951516514019593,-0.0013953809134117368
2019-10-31,-0.004367186830605663,0.003877390415547577,-0.00824457724615324
2019-11-01,0.009320308952084133,0.0038526780666972016,0.0054676308853869315
2019-11-04,-0.002680876187783121,0.0038526780666972016,-0.006533554254480323
2019-11-05,-0.0019352510520009858,0.00380324789306985,-0.005738498945070836
2019-11-06,0.0027408324809312656,0.003778530067663821,-0.0010376975867325555
2019-11-07,-0.0012369802415759246,0.0038279638926428383,-0.005064944134218763
2019-11-08,0.0022069113853180333,0.00380324789306985,-0.0015963365077518166
2019-11-12,0.003717833949827609,0.00380324789306985,-8.541394324224072e-05
2019-11-13,0.0013253895776765834,0.00380324789306985,-0.0024778583153932665
2019-11-14,0.00411307497460589,0.003877390415547577,0.00023568455905831343
2019-11-15,0.005733479741002467,0.003877390415547577,0.0018560893254548905
2019-11-18,0.0003440283486091378,0.003877390415547577,-0.003533362066938439
2019-11-19,0.0026886346990231402,0.0038526780666972016,-0.0011640433676740614
2019-11-20,-0.002365396154278332,0.0038279638926428383,-0.00619336004692117
2019-11-21,-0.0028587491024231193,0.0038279638926428383,-0.006686712995065958
2019-11-22,0.00182624686488575,0.0038526780666972016,-0.0020264312018114516
2019-11-25,0.008294619124465719,0.0039021009395086015,0.004392518184957117
2019-11-26,0.005033839879916346,0.00397622156519839,0.0010576183147179563
2019-11-27,0.0038581865088023193,0.004025626196972665,-0.0001674396881703455
2019-11-29,-0.004664569715229883,0.003951516514019593,-0.008616086229249476
2019-12-02,-0.008970012394607374,0.0039268096388944684,-0.012896822033501842
2019-12-03,-0.005471060877233036,0.0038279638926428383,-0.009299024769875874
2019-12-04,0.007655937683654468,0.0039268096388944684,0.0037291280447599995
2019-12-05,0.0024527822486657413,0.0037043656332984565,-0.0012515833846327151
2019-12-06,0.006955822436426118,0.0037043656332984565,0.0032514568031276614
2019-12-09,-0.003729376678880847,0.003753810416109671,-0.007483187094990518
2019-12-10,-1.464980618270939e-05,0.0037290889380929837,-0.003743738744275693
2019-12-11,0.003257875273062316,0.003753810416109671,-0.0004959351430473546
2019-12-12,0.0050600559874782736,0.0038279638926428383,0.0012320920948354352
2019-12-13,0.0010554689370592119,0.003778530067663821,-0.0027230611306046093
2019-12-16,0.00693854251064141,0.0038279638926428383,0.0031105786179985717
2019-12-17,-0.0011542607760729462,0.00380324789306985,-0.004957508669142796
2019-12-18,-0.0015528125943405913,0.00380324789306985,-0.005356060487410441
2019-12-19,0.003906189044738051,0.003753810416109671,0.00015237862862838014
2019-12-20,0.007161817770126033,0.0038279638926428383,0.003333853877483195
2019-12-23,-0.0011098531493977104,0.0038279638926428383,-0.004937817042040549
2019-12-24,0.000994390275849577,0.003778530067663821,-0.002784139791814244
2019-12-26,0.0027226941224383072,0.003877390415547577,-0.0011546962931092697
2019-12-27,-0.00015848107564786496,0.00380324789306985,-0.003961728968717715
2019-12-30,-0.0046988484827734656,0.00367964050141123,-0.008378488984184695
2019-12-31,0.0024916658234466205,0.003605454140042319,-0.0011137883165956985
2020-01-02,0.005325989100430917,0.0037290889380929837,0.001596900162337933
2020-01-03,-0.0033731780774548525,0.0037043656332984565,-0.007077543710753309
2020-01-06,0.0020687108371642005,0.003753810416109671,-0.0016850995789454704
2020-01-07,-0.000720940157319605,0.0037043656332984565,-0.0044253057906180615
2020-01-08,0.00388861226045889,0.0036549135421162227,0.00023369871834266753
2020-01-09,0.0055241808021038175,0.0037290889380929837,0.0017950918640108338
2020-01-10,-0.0013401075947144792,0.0037043656332984565,-0.005044473228012936
2020-01-13,0.006019226372876441,0.003753810416109671,0.0022654159567667698
2020-01-14,-8.1852923621617e-05,0.0037290889380929837,-0.0038109418617146007
2020-01-15,0.003867348654254421,0.0037290889380929837,0.0001382597161614374
2020-01-16,0.007619553082768515,0.003753810416109671,0.0038657426666588446
2020-01-17,0.0035094489930225237,0.003753810416109671,-0.00024436142308714714
2020-01-21,-0.0024886357130776693,0.0037043656332984565,-0.006193001346376126
2020-01-22,0.0005685163525930292,0.0037043656332984565,-0.0031358492807054272
